year,state_name,Levels Of Crime,Category,Value
1995,California,Level 4,Property Crime,1536830
1996,California,Level 4,Property Crime,1385135
1997,California,Level 4,Property Crime,1312367
2004,California,Level 4,Property Crime,1227194
2003,California,Level 4,Property Crime,1215086
2005,California,Level 4,Property Crime,1200531
1998,California,Level 4,Property Crime,1188791
2002,California,Level 4,Property Crime,1176484
2006,California,Level 4,Property Crime,1159988
2001,California,Level 4,Property Crime,1134189
2007,California,Level 4,Property Crime,1112510
2008,California,Level 4,Property Crime,1080996
2000,California,Level 4,Property Crime,1056183
1999,California,Level 4,Property Crime,1053285
2012,California,Level 4,Property Crime,1049465
2015,California,Level 4,Property Crime,1024914
2013,California,Level 4,Property Crime,1018907
2003,Texas,Level 4,Property Crime,1016735
2004,Texas,Level 4,Property Crime,1010702
2009,California,Level 4,Property Crime,1009433
2002,Texas,Level 4,Property Crime,1004274
2009,Texas,Level 4,Property Crime,995082
2005,Texas,Level 4,Property Crime,990293
2007,Texas,Level 4,Property Crime,985421
2010,California,Level 4,Property Crime,981939
2001,Texas,Level 4,Property Crime,976654
2011,California,Level 4,Property Crime,973822
2008,Texas,Level 4,Property Crime,969865
1996,Texas,Level 4,Property Crime,968732
2006,Texas,Level 4,Property Crime,959846
2010,Texas,Level 4,Property Crime,951246
1997,Texas,Level 4,Property Crime,948231
2014,California,Level 4,Property Crime,947193
1995,Texas,Level 4,Property Crime,940033
1995,Florida,Level 4,Property Crime,939288
1996,Florida,Level 4,Property Crime,928273
2000,Texas,Level 4,Property Crime,919658
1997,Florida,Level 4,Property Crime,915613
1995,California,Level 4,Larceny,902456
1998,Texas,Level 4,Property Crime,898496
1999,Texas,Level 4,Property Crime,896261
2011,Texas,Level 4,Property Crime,892810
1998,Florida,Level 4,Property Crime,887107
2012,Texas,Level 4,Property Crime,876459
2013,Texas,Level 4,Property Crime,862289
1996,California,Level 4,Larceny,830457
2014,Texas,Level 4,Property Crime,813515
1999,Florida,Level 4,Property Crime,808674
1997,California,Level 4,Larceny,784405
2001,Florida,Level 4,Property Crime,782517
2000,Florida,Level 4,Property Crime,780377
2015,Texas,Level 4,Property Crime,779234
2002,Florida,Level 4,Property Crime,777236
2008,Florida,Level 4,Property Crime,758889
2003,Florida,Level 4,Property Crime,757696
2007,Florida,Level 4,Property Crime,746249
2003,California,Level 4,Larceny,731486
2004,California,Level 4,Larceny,728687
2004,Florida,Level 4,Property Crime,727141
1998,California,Level 4,Larceny,724262
2006,Florida,Level 4,Property Crime,721101
2002,California,Level 4,Larceny,715692
2005,Florida,Level 4,Property Crime,712998
2009,Florida,Level 4,Property Crime,712010
2003,Texas,Level 4,Larceny,698644
2001,California,Level 4,Larceny,697739
2004,Texas,Level 4,Larceny,696507
2005,California,Level 4,Larceny,692467
2002,Texas,Level 4,Larceny,688992
2009,Texas,Level 4,Larceny,678455
2005,Texas,Level 4,Larceny,677042
1995,New York,Level 4,Property Crime,674342
2011,Florida,Level 4,Property Crime,671200
2001,Texas,Level 4,Larceny,669625
2006,California,Level 4,Larceny,669103
2010,Florida,Level 4,Property Crime,669035
2007,Texas,Level 4,Larceny,663101
1999,California,Level 4,Larceny,660991
1996,Texas,Level 4,Larceny,659414
2015,California,Level 4,Larceny,656517
2010,Texas,Level 4,Larceny,654626
2007,California,Level 4,Larceny,654526
2008,Texas,Level 4,Larceny,654435
2000,California,Level 4,Larceny,651855
2008,California,Level 4,Larceny,650656
2006,Texas,Level 4,Larceny,648711
1997,Texas,Level 4,Larceny,645451
2000,Texas,Level 4,Larceny,637522
2012,California,Level 4,Larceny,635090
2012,Florida,Level 4,Property Crime,632988
1995,Texas,Level 4,Larceny,632468
2013,California,Level 4,Larceny,621557
1996,New York,Level 4,Property Crime,619250
2009,California,Level 4,Larceny,615402
1999,Texas,Level 4,Larceny,613862
2011,Texas,Level 4,Larceny,613131
1995,Florida,Level 4,Larceny,612311
2013,Florida,Level 4,Property Crime,607170
1998,Texas,Level 4,Larceny,606967
2012,Texas,Level 4,Larceny,606425
1996,Florida,Level 4,Larceny,605448
2013,Texas,Level 4,Larceny,605440
2010,California,Level 4,Larceny,600558
2011,California,Level 4,Larceny,596905
1997,Florida,Level 4,Larceny,594492
2014,California,Level 4,Larceny,592673
1997,New York,Level 4,Property Crime,584438
2014,Florida,Level 4,Property Crime,583774
1998,Florida,Level 4,Larceny,579752
2014,Texas,Level 4,Larceny,577018
2015,Florida,Level 4,Property Crime,570270
2015,Texas,Level 4,Larceny,558653
1998,New York,Level 4,Property Crime,536287
1999,Florida,Level 4,Larceny,534105
1995,Illinois,Level 4,Property Crime,527572
1996,Illinois,Level 4,Property Crime,524777
2000,Florida,Level 4,Larceny,518298
2001,Florida,Level 4,Larceny,516548
2002,Florida,Level 4,Larceny,511478
1997,Illinois,Level 4,Property Crime,509113
2008,Florida,Level 4,Larceny,506902
2003,Florida,Level 4,Larceny,505489
2007,Florida,Level 4,Larceny,490783
1999,New York,Level 4,Property Crime,489596
1998,Illinois,Level 4,Property Crime,487915
2000,New York,Level 4,Property Crime,483078
2004,Florida,Level 4,Larceny,482484
2009,Florida,Level 4,Larceny,479867
2006,Florida,Level 4,Larceny,473774
2005,Florida,Level 4,Larceny,472912
1999,Illinois,Level 4,Property Crime,463939
2011,Florida,Level 4,Larceny,461408
2010,Florida,Level 4,Larceny,458454
2001,New York,Level 4,Property Crime,458003
2000,Illinois,Level 4,Property Crime,445278
2012,Florida,Level 4,Larceny,442095
2002,New York,Level 4,Property Crime,442091
2001,Illinois,Level 4,Property Crime,434648
2013,Florida,Level 4,Larceny,433344
2003,New York,Level 4,Property Crime,432079
2002,Illinois,Level 4,Property Crime,430479
2014,Florida,Level 4,Larceny,426197
1995,New York,Level 4,Larceny,425184
2006,Ohio,Level 4,Property Crime,423334
2004,New York,Level 4,Property Crime,422734
2015,Florida,Level 4,Larceny,420341
2003,Illinois,Level 4,Property Crime,415885
2005,New York,Level 4,Property Crime,405990
2004,Illinois,Level 4,Property Crime,403486
1996,New York,Level 4,Larceny,399522
2006,New York,Level 4,Property Crime,398577
2005,Illinois,Level 4,Property Crime,394670
2008,New York,Level 4,Property Crime,388599
1997,New York,Level 4,Larceny,386435
2007,New York,Level 4,Property Crime,383624
2011,Ohio,Level 4,Property Crime,380572
2010,New York,Level 4,Property Crime,379710
2008,Illinois,Level 4,Property Crime,378355
2009,New York,Level 4,Property Crime,377537
2007,Illinois,Level 4,Property Crime,377322
2010,Ohio,Level 4,Property Crime,376836
2012,New York,Level 4,Property Crime,375268
2011,New York,Level 4,Property Crime,371837
2012,Ohio,Level 4,Property Crime,370435
1998,New York,Level 4,Larceny,363295
2013,New York,Level 4,Property Crime,358603
1996,Illinois,Level 4,Larceny,358515
1995,Illinois,Level 4,Larceny,357143
1995,California,Level 3,Burglary,353895
2009,Illinois,Level 4,Property Crime,353347
1997,Illinois,Level 4,Larceny,350140
2000,New York,Level 4,Larceny,340901
2013,Georgia,Level 4,Property Crime,339808
2014,Georgia,Level 4,Property Crime,339146
2014,New York,Level 4,Property Crime,339113
1999,New York,Level 4,Larceny,338118
1998,Illinois,Level 4,Larceny,337191
2001,New York,Level 4,Larceny,329316
1999,Illinois,Level 4,Larceny,320954
2002,New York,Level 4,Larceny,318025
2015,New York,Level 4,Property Crime,317225
2015,Georgia,Level 4,Property Crime,316013
2000,Illinois,Level 4,Larceny,313161
1996,California,Level 3,Burglary,312212
2003,New York,Level 4,Larceny,311422
2004,New York,Level 4,Larceny,311036
2001,Illinois,Level 4,Larceny,306757
1995,California,Level 2,Violent Crime,305154
2002,Illinois,Level 4,Larceny,304227
2005,New York,Level 4,Larceny,302220
1997,California,Level 3,Burglary,299240
2008,New York,Level 4,Larceny,297962
2006,New York,Level 4,Larceny,297827
2003,Illinois,Level 4,Larceny,295907
2012,New York,Level 4,Larceny,293562
2010,New York,Level 4,Larceny,293232
2009,New York,Level 4,Larceny,292897
2007,New York,Level 4,Larceny,290681
2011,New York,Level 4,Larceny,287361
2004,Illinois,Level 4,Larceny,287025
2013,New York,Level 4,Larceny,286676
1995,California,Level 3,Motor Vehicle Theft,280479
2006,Ohio,Level 4,Larceny,279718
2005,Illinois,Level 4,Larceny,277662
1996,California,Level 2,Violent Crime,274996
2014,New York,Level 4,Larceny,272624
1998,California,Level 3,Burglary,269012
2007,Illinois,Level 4,Larceny,267911
2008,Illinois,Level 4,Larceny,266815
2015,New York,Level 4,Larceny,257837
1997,California,Level 2,Violent Crime,257582
2005,California,Level 3,Motor Vehicle Theft,257543
2004,California,Level 3,Motor Vehicle Theft,252604
2005,California,Level 3,Burglary,250521
2009,Illinois,Level 4,Larceny,248821
2010,Ohio,Level 4,Larceny,248581
2006,California,Level 3,Burglary,247230
2011,Ohio,Level 4,Larceny,246744
2004,California,Level 3,Burglary,245903
2012,California,Level 3,Burglary,245767
2012,Ohio,Level 4,Larceny,245372
2006,California,Level 3,Motor Vehicle Theft,243655
1996,California,Level 3,Motor Vehicle Theft,242466
2003,California,Level 3,Burglary,242274
2003,California,Level 3,Motor Vehicle Theft,241326
2009,Texas,Level 3,Burglary,240058
2002,California,Level 3,Burglary,238428
2007,California,Level 3,Burglary,237850
2008,California,Level 3,Burglary,237811
2014,Georgia,Level 4,Larceny,233359
2001,California,Level 3,Burglary,232273
2013,California,Level 3,Burglary,232058
2009,California,Level 3,Burglary,230198
2011,California,Level 3,Burglary,230075
2008,Texas,Level 3,Burglary,230046
1998,California,Level 2,Violent Crime,229883
2013,Georgia,Level 4,Larceny,229190
2010,California,Level 3,Burglary,228857
1997,California,Level 3,Motor Vehicle Theft,228722
2010,Texas,Level 3,Burglary,228597
2007,Texas,Level 3,Burglary,228320
1999,California,Level 3,Burglary,223814
2002,California,Level 3,Motor Vehicle Theft,222364
2000,California,Level 3,Burglary,222293
2015,Georgia,Level 4,Larceny,220715
2007,California,Level 3,Motor Vehicle Theft,220134
2004,Texas,Level 3,Burglary,220118
2003,Texas,Level 3,Burglary,219877
2005,Texas,Level 3,Burglary,219828
1996,Florida,Level 3,Burglary,219056
2011,Texas,Level 3,Burglary,215755
2006,Texas,Level 3,Burglary,215710
1995,Florida,Level 3,Burglary,215657
1997,Florida,Level 3,Burglary,213926
2001,California,Level 2,Violent Crime,212867
2002,Texas,Level 3,Burglary,212602
2000,California,Level 2,Violent Crime,210531
2002,California,Level 2,Violent Crime,208388
1999,California,Level 2,Violent Crime,207879
2003,California,Level 2,Violent Crime,205551
2012,Texas,Level 3,Burglary,205002
1996,Texas,Level 3,Burglary,204390
2001,Texas,Level 3,Burglary,204362
2001,California,Level 3,Motor Vehicle Theft,204177
1998,Florida,Level 3,Burglary,203105
2014,California,Level 3,Burglary,202669
1995,Texas,Level 3,Burglary,202642
1997,Texas,Level 3,Burglary,201059
2015,California,Level 3,Burglary,197404
1998,California,Level 3,Motor Vehicle Theft,195517
1998,Texas,Level 3,Burglary,194883
2006,California,Level 2,Violent Crime,194483
2008,California,Level 3,Motor Vehicle Theft,192529
2007,California,Level 2,Violent Crime,191561
2013,Texas,Level 3,Burglary,191062
1999,Texas,Level 3,Burglary,190362
2005,California,Level 2,Violent Crime,190178
2004,California,Level 2,Violent Crime,189175
2000,Texas,Level 3,Burglary,188975
2008,Florida,Level 3,Burglary,188472
1995,California,Level 2,Aggravated Assault,186458
2008,California,Level 2,Violent Crime,185329
2000,California,Level 3,Motor Vehicle Theft,182035
2009,Florida,Level 3,Burglary,181884
2007,Florida,Level 3,Burglary,181836
1999,Florida,Level 3,Burglary,181378
2002,Florida,Level 3,Burglary,177242
2001,Florida,Level 3,Burglary,176052
2009,California,Level 2,Violent Crime,174934
2000,Florida,Level 3,Burglary,172898
2015,California,Level 3,Motor Vehicle Theft,170993
2006,Florida,Level 3,Burglary,170873
2003,Florida,Level 3,Burglary,170644
2011,Florida,Level 3,Burglary,170171
2010,Florida,Level 3,Burglary,169119
2012,California,Level 3,Motor Vehicle Theft,168608
1999,California,Level 3,Motor Vehicle Theft,168480
2014,Texas,Level 3,Burglary,168085
1996,California,Level 2,Aggravated Assault,167614
2015,California,Level 2,Violent Crime,166883
2004,Florida,Level 3,Burglary,166332
2013,California,Level 3,Motor Vehicle Theft,165292
2005,Florida,Level 3,Burglary,164783
2010,California,Level 2,Violent Crime,164133
2009,California,Level 3,Motor Vehicle Theft,163833
1997,California,Level 2,Aggravated Assault,163346
2012,California,Level 2,Violent Crime,160944
2011,California,Level 2,Violent Crime,154943
2013,California,Level 2,Violent Crime,154739
2014,California,Level 2,Violent Crime,153763
2012,Florida,Level 3,Burglary,153563
2015,Texas,Level 3,Burglary,153067
1995,New York,Level 2,Violent Crime,152683
2010,California,Level 3,Motor Vehicle Theft,152524
2014,California,Level 3,Motor Vehicle Theft,151851
1995,Florida,Level 2,Violent Crime,151711
1996,Florida,Level 2,Violent Crime,151350
1997,Florida,Level 2,Violent Crime,149996
1998,California,Level 2,Aggravated Assault,149148
2011,California,Level 3,Motor Vehicle Theft,146842
1995,New York,Level 3,Burglary,146562
1998,Florida,Level 2,Violent Crime,140016
2013,Florida,Level 3,Burglary,138915
2000,California,Level 2,Aggravated Assault,138418
1999,California,Level 2,Aggravated Assault,136472
2001,California,Level 2,Aggravated Assault,136087
1996,New York,Level 2,Violent Crime,132206
2007,Florida,Level 2,Violent Crime,131878
2002,California,Level 2,Aggravated Assault,130827
2001,Florida,Level 2,Violent Crime,130713
1996,New York,Level 3,Burglary,129828
2000,Florida,Level 2,Violent Crime,129777
2006,Florida,Level 2,Violent Crime,129602
2003,California,Level 2,Aggravated Assault,129380
1999,Florida,Level 2,Violent Crime,129044
2002,Florida,Level 2,Violent Crime,128721
2008,Florida,Level 2,Violent Crime,126256
2002,Texas,Level 2,Violent Crime,126018
2005,Florida,Level 2,Violent Crime,125957
1997,New York,Level 2,Violent Crime,124890
1995,Texas,Level 2,Violent Crime,124303
2003,Florida,Level 2,Violent Crime,124280
2004,Florida,Level 2,Violent Crime,123754
2008,Texas,Level 2,Violent Crime,123585
1996,Texas,Level 2,Violent Crime,123270
2003,Texas,Level 2,Violent Crime,122246
2001,Texas,Level 2,Violent Crime,122155
2007,Texas,Level 2,Violent Crime,122014
2009,Texas,Level 2,Violent Crime,121684
2006,Texas,Level 2,Violent Crime,121602
2004,Texas,Level 2,Violent Crime,121554
2014,Florida,Level 3,Burglary,121379
2005,Texas,Level 2,Violent Crime,121091
1997,New York,Level 3,Burglary,118306
1995,Illinois,Level 2,Violent Crime,117836
1997,Texas,Level 2,Violent Crime,117126
1998,New York,Level 2,Violent Crime,115915
2004,California,Level 2,Aggravated Assault,115400
2005,California,Level 2,Aggravated Assault,114661
2000,Texas,Level 2,Violent Crime,113653
2009,Florida,Level 2,Violent Crime,113541
2010,Texas,Level 2,Violent Crime,113231
2015,Texas,Level 2,Violent Crime,113193
2011,Ohio,Level 3,Burglary,112901
1999,Texas,Level 2,Violent Crime,112306
2006,California,Level 2,Aggravated Assault,111620
1998,Texas,Level 2,Violent Crime,111566
1995,Florida,Level 3,Motor Vehicle Theft,111320
2014,Texas,Level 2,Violent Crime,109711
2007,California,Level 2,Aggravated Assault,109547
2015,Florida,Level 3,Burglary,109268
2013,Texas,Level 2,Violent Crime,108757
1995,Illinois,Level 3,Burglary,108555
1996,Illinois,Level 3,Burglary,108185
1997,Florida,Level 3,Motor Vehicle Theft,107195
1999,New York,Level 2,Violent Crime,107147
2010,Ohio,Level 3,Burglary,107125
2012,Texas,Level 2,Violent Crime,106475
2006,Ohio,Level 3,Burglary,105639
1996,Illinois,Level 2,Violent Crime,105482
2012,Ohio,Level 3,Burglary,105312
2000,New York,Level 2,Violent Crime,105111
1996,Texas,Level 3,Motor Vehicle Theft,104928
1995,Texas,Level 3,Motor Vehicle Theft,104923
2008,California,Level 2,Aggravated Assault,104896
1998,New York,Level 3,Burglary,104821
2011,Texas,Level 2,Violent Crime,104734
1995,California,Level 3,Robbery,104611
1998,Florida,Level 3,Motor Vehicle Theft,104250
1996,Florida,Level 3,Motor Vehicle Theft,103769
1997,Illinois,Level 3,Burglary,103550
2002,Texas,Level 3,Motor Vehicle Theft,102680
2001,Texas,Level 3,Motor Vehicle Theft,102667
1995,New York,Level 3,Motor Vehicle Theft,102596
1997,Illinois,Level 2,Violent Crime,102476
2010,Florida,Level 2,Violent Crime,101969
1997,Texas,Level 3,Motor Vehicle Theft,101721
1995,Florida,Level 2,Aggravated Assault,101302
1996,Florida,Level 2,Aggravated Assault,101122
1997,Florida,Level 2,Aggravated Assault,100926
2009,California,Level 2,Aggravated Assault,100156
2015,California,Level 2,Aggravated Assault,99349
2003,Texas,Level 3,Motor Vehicle Theft,98214
2011,Florida,Level 2,Violent Crime,98198
2001,New York,Level 2,Violent Crime,98022
1998,Illinois,Level 3,Burglary,97792
1998,Illinois,Level 2,Violent Crime,97291
1998,Texas,Level 3,Motor Vehicle Theft,96646
2010,California,Level 2,Aggravated Assault,95877
1998,Florida,Level 2,Aggravated Assault,95447
2006,Texas,Level 3,Motor Vehicle Theft,95425
2002,New York,Level 2,Violent Crime,95030
2012,California,Level 2,Aggravated Assault,94702
1996,California,Level 3,Robbery,94222
2012,Florida,Level 2,Violent Crime,94087
2004,Texas,Level 3,Motor Vehicle Theft,94077
2007,Texas,Level 3,Motor Vehicle Theft,94000
2015,Florida,Level 2,Violent Crime,93625
2005,Texas,Level 3,Motor Vehicle Theft,93423
1999,New York,Level 3,Burglary,93217
1999,Florida,Level 3,Motor Vehicle Theft,93191
2000,Texas,Level 3,Motor Vehicle Theft,93161
1999,Texas,Level 3,Motor Vehicle Theft,92037
2013,Florida,Level 2,Violent Crime,91993
2014,California,Level 2,Aggravated Assault,91804
2014,Florida,Level 2,Violent Crime,91345
2011,California,Level 2,Aggravated Assault,91195
2001,Florida,Level 2,Aggravated Assault,90331
2000,Florida,Level 2,Aggravated Assault,90008
2001,Florida,Level 3,Motor Vehicle Theft,89917
1996,New York,Level 3,Motor Vehicle Theft,89900
2003,New York,Level 2,Violent Crime,89486
1999,Florida,Level 2,Aggravated Assault,89226
2000,Florida,Level 3,Motor Vehicle Theft,89181
2013,California,Level 2,Aggravated Assault,89029
2002,Florida,Level 3,Motor Vehicle Theft,88516
2002,Florida,Level 2,Aggravated Assault,88476
2005,Florida,Level 2,Aggravated Assault,88341
2000,New York,Level 3,Burglary,87946
2006,Florida,Level 2,Aggravated Assault,87851
2007,Florida,Level 2,Aggravated Assault,86372
1999,Illinois,Level 3,Burglary,86317
2004,Florida,Level 2,Aggravated Assault,86199
2005,New York,Level 2,Violent Crime,85839
2008,Texas,Level 3,Motor Vehicle Theft,85384
2003,Florida,Level 2,Aggravated Assault,85106
2004,New York,Level 2,Violent Crime,84914
2006,New York,Level 2,Violent Crime,84016
1999,Illinois,Level 2,Violent Crime,83621
2013,Georgia,Level 3,Burglary,83459
